
76,76
81,81
79,79
77,77
81,74,65,71,47,35,47
74,74,65,71,47,35,47
65,74,65,71,47,35,47
74,74,65,71,47,35,47
81,71,62,71,47,35,47
81,74,65
74,74,65
65,74,65
74,74,65
81,71,62
81,74,65,62,47,35,47
74,74,65,62,47,35,47
65,74,65,62,47,35,47
74,74,65,62,47,35,47
81,71,74,62,47,35,47
80,80,71,64,40,28,40
64,80,71,64,40,28,40
66,80,71,64,40,28,40
68,80,71,64,40,28,40
69,80,71,64,40,28,40
71,80,71,64,40,28,40
68,80,71,64,40,28,40
69,80,71,64,40,28,40
71,80,71,64,40,28,40
72,80,71,64,40,28,40
74,80,71,64,40,28,40
71,80,71,64,40,28,40
72,80,71,64,40,28,40
74,80,71,64,40,28,40
76,80,71,64,40,28,40
77,80,71,64,40,28,40
76,80,71,64,40,28,40
74,80,71,64,40,28,40
73,80,71,64,40,28,40
74,80,71,64,40,28,40
76,80,71,64,40,28,40
74,80,71,64,40,28,40
73,80,71,64,40,28,40
74,80,71,64,40,28,40
76,80,71,64,40,28,40
74,80,71,64,40,28,40
73,80,71,64,40,28,40
74,80,71,64,40,28,40
83,74,64,80,71,64,40,28,40
83,74,64,80,71,64,59,47,59
83,74,64,80,71,64,64,52,64
83,74,64,80,71,64,62,50,62
83,74,64,80,71,64,60,48,60
59,47,59
60,48,60
76,76,62,50,62
81,81,60,48,60
79,79,60,48,60
77,77,69,60,48,60
76,76,81,48,36,48
74,74,81,48,36,48
72,72,76,69,48,36,48
71,71,80,71,52,40,52
72,72,81,71,52,40,52
74,74,83,68,52,40,52
72,72,81,64,57,45,57
71,71,81,64,57,45,57
72,72,76,64,57,45,57
69,69,72,64,45,33,45
71,71,74,64,45,33,45
72,72,76,64,45,33,45
64,64,69,64,57,45,57
69,69,72,64,57,45,57
72,72,76,64,57,45,57
71,71,76,64,56,44,56
69,69,77,64,56,44,56
71,71,76,59,56,44,56
68,68,71,64,52,40,52
69,69,72,64,52,40,52
71,71,74,64,52,40,52
64,64,76,64,56,44,56
71,71,76,64,56,44,56
74,74,64,64,56,44,56
72,69,72,57,64,57,45,57
64,72,57,64,57,45,57
60,57,45,57
57,60,48,60
60,60,48,60
64,60,48,60
69,57,45,57
71,57,45,57
72,57,45,57
72,64,52,64
74,64,52,64
72,64,52,64
74,64,52,64
72,64,52,64
74,64,52,64
72,64,52,64
74,64,52,64
71,64,52,64
75,71,68,52,40,52
75,69,66,52,40,52
75,71,68,52,40,52
75,68,59
76
71,52,40,52
68,52,40,52
64,52,40,52
59,56,44,56
64,56,44,56
68,56,44,56
71,52,40,52
72,52,40,52
74,52,40,52
74,57,45,57
76,57,45,57
74,57,45,57
76,57,45,57
74,57,45,57
76,57,45,57
74,57,45,57
76,57,45,57
72,57,45,57
80,76,72,45,33,45
80,74,71,45,33,45
80,76,72,45,33,45
80,72,64
81
77,50,38,50
81,50,38,50
76,50,38,50
77,81,77,74
73,81,77,74
74
69,50,38,50
74,50,38,50
77,50,38,50
76,48,36,48
81,48,36,48
74,48,36,48
76,81,76,72
71,81,76,72
72
69,48,36,48
72,48,36,48
76,48,36,48
74,47,35,47
77,47,35,47
76,47,35,47
74,47,35,47
72,47,35,47
71,74,68,71
74,74,68,71
72,74,68,71
71,48,36,48
69,48,36,48
68,47,35,47
71,47,35,47
69,47,35,47
68,45,33,45
66,45,33,45
64,74,71
64,74,69
64,71,71
64,68,71
66,68,71
68,71,71
69,71,71
71,74,68
72,74,68
74,77,68,40,28,40
76,76,68,40,28,40
74,76,68,40,28,40
72,74,68,40,28,40
71,74,68,40,28,40
72,76,72,69,45,33,45
71,74,72,69,45,33,45
69,76,64,45,33,45
69,73,64
71,73,64
73,76,64
74,76,64
76,79,61
77,79,61
79,82,61,45,33,45
81,81,61,45,33,45
79,81,61,45,33,45
77,79,61,45,33,45
76,79,61,45,33,45
77,77,69,62,50,38,50
76,77,67,62,50,38,50
74,69,69,50,38,50
74,66,69
76,66,69
78,69,69
79,69,69
81,72,66
83,72,66
84,75,66,38,26,38
86,74,66,38,26,38
84,74,66,38,26,38
