
64
77,69,54
78,69,54
78,68,56
78,69,56
78,66,57
76,66,57
75,66,54
73,66,54
75,66,59
75,66,57
75,71,56
75,71,54
75,71,56
75,69,56
74,68,59
74,66,59
74,68,52
74,68,50
83,68,49
83,68,47
83,68,49
81,68,49
80,68,49
78,67,52
76,67,52
74,67,52
73,67,57
73,67,55
73,76,54
73,76,52
73,76,54
73,74,54
73,73,54
72,71,57
72,69,57
72,67,57
72,66,50
72,66,48
81,66,47
81,66,45
81,66,47
79,66,47
78,66,47
76,66,50
74,66,50
72,66,50
71,66,55
70,66,55
71,66,55
73,74,54
71,74,54
70,74,54
71,74,55
71,73,55
71,73,54
71,71,54
83,69,52
83,67,52
83,67,50
83,66,50
82,64,49
82,63,49
82,64,49
81,66,48
81,64,48
81,63,48
80,64,47
80,64,46
80,64,47
79,76,49
79,76,47
79,76,46
78,75,47
78,75,42
69,74,42
69,74,41
68,73,41
68,73,52
76,72,52
76,72,54
76,71,55
74,71,47
73,71,47
74,62,47
76,62,45
78,61,45
76,61,45
78,61,45
76,61,45
78,61,43
76,61,43
78,61,43
76,61,43
78,71,43
76,71,43
78,71,43
76,71,43
74,71,42
76,71,42
78,71,42
78,69,54
78,68,54
78,69,54
78,71,52
71,52
73,50
78,71,50
78,69,49
78,71,49
77,73,49
80,73,49
74,66,49
74,65
73,68
83,62,53
81,62,53
80,62,53
80,62,54
81,61,54
71,53
69,53
68,53
68,54
69,54
62,53
62,52
61,52
64,52
74,58,43
74,58,45
73,58,45
73,57,45
76,57,45
70,67,49
70,66,49
70,64,49
70,64,50
69,66,50
79,49
78,49
76,49
76,50
78,50
83,55
82,49
85,49
79,71,52
79,70,54
78,73,54
88,67,58
86,67,58
85,67,58
85,67,59
86,66,59
76,58
74,58
73,58
73,59
74,59
67,58
67,57
66,57
69,57
79,63,48
79,63,50
78,63,50
78,62,50
81,62,50
75,72,54
75,71,54
75,69,54
75,69,55
74,71,55
84,54
83,54
81,54
81,55
83,56
59,56
59,57
60,57
60,55
63,55
63,54
64,55
64,54
67,54
67,52
70,54
70,56
74,56
74,58
73,58
73,59
66,64,59
66,64,58
67,62,59
70,61,55
70,59,55
71,62,52
71,61,52
74,59,54
74,58,54
77,59,56
77,59,54
81,54
81,53
80,53
80,54
71,54
71,53
69,54
68,50
66,50
69,47
68,47
66,71,49
65,71,49
66,69,42
66,69,54
66,74,54
66,74,52
73,52
73,50
72,78,50
72,78,49
78,72,49
78,72,59
77,73,59
77,73,57
57
56
83,56
83,54
81,54
81,66
86,66
86,64
85,64
85,62
90,72,62
90,72,61
84,78,61
84,78,59
85,77,59
85,77,57
57
56
61,56
61,54
69,54
68,54
66,54
66,52
68,51
68,52
66,52
68,52
73,69,49
73,68,49
73,66,49
73,65,49
81,66,37
80,64,37
78,62,37
78,61,52
80,61,50
80,61,52
78,63,52
80,65,52
81,66,49
80,66,49
78,68,49
77,68,49
78,69,37
76,68,37
74,66,37
73,68,52
73,68,51
73,68,52
75,66,52
77,68,52
78,69,49
78,68,49
80,66,49
80,65,49
81,66,45
80,66,45
78,66,45
78,54,47
80,54,47
80,49
78,49
80,49
81,61,37
80,61,37
78,61,37
77,61,37
78,69,42
66,69,54
66,69,56
69,54
